PO_ID,Supplier_ID,SKU,Order_Qty,Received_Qty,Lead_Time,Delay_Days
PO000170,SUP018,SKU0791,297,297,4,3
PO000171,SUP022,SKU0681,429,427,3,2
PO000172,SUP025,SKU0236,138,134,2,0
PO000173,SUP003,SKU0878,331,314,6,1
PO000174,SUP019,SKU0800,389,376,10,7
PO000175,SUP017,SKU0745,290,287,6,5
PO000176,SUP015,SKU0146,191,179,10,6
PO000177,SUP022,SKU0194,390,375,2,8
PO000178,SUP025,SKU0578,261,248,4,2
PO000179,SUP024,SKU0705,252,234,10,0
PO000180,SUP013,SKU0144,213,198,10,6
PO000181,SUP026,SKU0110,398,396,4,2
PO000182,SUP004,SKU0748,328,324,11,2
PO000183,SUP030,SKU0675,232,214,6,5
PO000184,SUP012,SKU0791,197,195,8,8
PO000185,SUP001,SKU0101,300,299,9,5
PO000186,SUP018,SKU0048,244,231,11,6
PO000187,SUP028,SKU0457,368,363,7,7
PO000188,SUP006,SKU0458,385,375,12,0
PO000189,SUP022,SKU0609,137,133,13,1
PO000190,SUP019,SKU0612,491,471,13,1
PO000191,SUP017,SKU0735,241,222,2,7
PO000192,SUP007,SKU0673,32,30,10,5
PO000193,SUP004,SKU0325,242,241,10,6
PO000194,SUP014,SKU0296,325,311,4,0
PO000195,SUP019,SKU0018,313,302,4,3
PO000196,SUP016,SKU0240,23,13,12,1
PO000197,SUP025,SKU0510,234,224,12,5
PO000198,SUP024,SKU0199,164,158,7,4
PO000199,SUP011,SKU0247,258,258,6,7
PO000200,SUP017,SKU0549,208,208,5,8
PO000201,SUP010,SKU0633,236,232,12,6
PO000202,SUP006,SKU0104,159,139,13,3
PO000203,SUP019,SKU0374,41,27,4,8
PO000204,SUP011,SKU0113,55,38,5,7
PO000205,SUP030,SKU0874,322,311,10,6
PO000206,SUP016,SKU0491,369,353,2,5
PO000207,SUP019,SKU0842,237,227,14,3
PO000208,SUP002,SKU0780,408,391,11,5
PO000209,SUP015,SKU0815,496,487,14,0
PO000210,SUP019,SKU0782,150,144,8,2
PO000211,SUP019,SKU0854,95,76,7,2
PO000212,SUP026,SKU0947,216,197,5,2
PO000213,SUP024,SKU0010,92,75,5,0
PO000214,SUP007,SKU0210,197,195,13,1
PO000215,SUP008,SKU0071,440,429,13,7
PO000216,SUP009,SKU0745,206,197,3,6
PO000217,SUP016,SKU0072,205,197,3,5
PO000218,SUP005,SKU0708,174,173,5,1
PO000219,SUP025,SKU0805,207,195,7,4
PO000220,SUP016,SKU0471,414,406,4,7
PO000221,SUP001,SKU0850,75,58,7,5
PO000222,SUP005,SKU0611,408,403,2,6
PO000223,SUP016,SKU0936,43,37,6,2
PO000224,SUP019,SKU0419,297,293,11,3
PO000225,SUP026,SKU0196,457,457,9,6
PO000226,SUP023,SKU0931,137,125,2,4
PO000227,SUP013,SKU0516,299,293,13,2
PO000228,SUP002,SKU0051,74,66,13,3
PO000229,SUP024,SKU0035,240,231,12,1
PO000230,SUP028,SKU0046,413,400,2,7
PO000231,SUP006,SKU0126,476,467,11,3
PO000232,SUP028,SKU0942,85,80,4,1
PO000233,SUP026,SKU0263,457,454,3,7
PO000234,SUP013,SKU0166,197,188,5,4
PO000235,SUP024,SKU0791,473,470,10,7
PO000236,SUP003,SKU0445,247,236,4,7
PO000237,SUP022,SKU0698,241,227,5,5
PO000238,SUP010,SKU0874,173,162,6,0
PO000239,SUP005,SKU0528,335,320,2,4
PO000240,SUP027,SKU0107,362,353,7,3
PO000241,SUP021,SKU0857,247,244,2,0
PO000242,SUP010,SKU0465,265,253,7,8
PO000243,SUP007,SKU0299,413,397,5,5
PO000244,SUP015,SKU0673,458,456,7,4
PO000245,SUP014,SKU0838,168,165,3,0
PO000246,SUP013,SKU0262,173,172,4,0
PO000247,SUP024,SKU0762,336,335,2,0
PO000248,SUP003,SKU0134,407,407,4,4
PO000249,SUP013,SKU0764,341,327,6,3
PO000250,SUP004,SKU0520,119,105,5,1
PO000251,SUP013,SKU0525,321,321,13,0
PO000252,SUP021,SKU0382,304,289,7,7
PO000253,SUP029,SKU0982,126,124,5,7
PO000254,SUP014,SKU0183,298,287,6,3
PO000255,SUP001,SKU0316,231,225,9,8
PO000256,SUP005,SKU0820,62,53,5,4
PO000257,SUP003,SKU0252,196,177,2,7
PO000258,SUP006,SKU0630,200,188,2,3
PO000259,SUP020,SKU0693,487,474,13,1
PO000260,SUP020,SKU0096,290,285,7,4
PO000261,SUP015,SKU0612,227,209,9,5
PO000262,SUP023,SKU0139,457,441,8,4
PO000263,SUP008,SKU0307,195,175,4,7
PO000264,SUP030,SKU0748,401,394,8,3
PO000265,SUP011,SKU0352,412,401,4,1
PO000266,SUP024,SKU0046,114,103,11,0
PO000267,SUP011,SKU0595,283,267,14,3
PO000268,SUP027,SKU0190,271,265,13,5
PO000269,SUP020,SKU0525,322,309,6,5
PO000270,SUP003,SKU0617,141,135,2,4
PO000271,SUP020,SKU0084,301,283,9,4
PO000272,SUP018,SKU0921,61,43,14,2
PO000273,SUP006,SKU0420,305,304,3,6
PO000274,SUP021,SKU0443,392,387,10,4
PO000275,SUP009,SKU0571,299,282,2,5
PO000276,SUP020,SKU0708,159,141,13,5
PO000277,SUP025,SKU0378,277,263,13,3
PO000278,SUP025,SKU0305,465,463,2,7
PO000279,SUP026,SKU0756,218,205,8,3
PO000280,SUP013,SKU0534,46,27,4,5
PO000281,SUP003,SKU0831,220,217,12,0
PO000282,SUP021,SKU0298,358,358,4,6
PO000283,SUP014,SKU0669,90,81,2,1
PO000284,SUP015,SKU0441,313,294,11,2
PO000285,SUP009,SKU0168,452,436,11,5
PO000286,SUP011,SKU0962,159,141,8,3
PO000287,SUP030,SKU0015,207,206,5,7
PO000288,SUP009,SKU0569,491,485,12,5
PO000289,SUP011,SKU0936,87,85,7,6
PO000290,SUP018,SKU0803,447,446,12,3
PO000291,SUP030,SKU0608,112,108,13,8
PO000292,SUP026,SKU0306,173,157,8,6
PO000293,SUP010,SKU0977,388,385,12,4
PO000294,SUP026,SKU0855,267,266,9,0
PO000295,SUP007,SKU0020,433,422,12,4
PO000296,SUP012,SKU0165,284,271,6,7
PO000297,SUP002,SKU0784,375,356,6,5
PO000298,SUP011,SKU0491,206,201,9,4
PO000299,SUP016,SKU0877,428,428,11,4
PO000300,SUP011,SKU0672,320,310,6,0
PO000301,SUP012,SKU0411,78,73,9,1
PO000302,SUP023,SKU0199,45,25,11,8
PO000303,SUP015,SKU0756,491,476,10,7
PO000304,SUP007,SKU0876,332,331,13,0
PO000305,SUP028,SKU0027,329,311,3,0
PO000306,SUP020,SKU0715,346,332,5,0
PO000307,SUP023,SKU0553,207,205,8,2
PO000308,SUP007,SKU0263,259,245,2,6
PO000309,SUP028,SKU0693,309,293,7,3
PO000310,SUP003,SKU0832,352,346,13,0
PO000311,SUP011,SKU0738,367,365,6,6
PO000312,SUP008,SKU0238,256,254,3,0
PO000313,SUP030,SKU0209,311,311,9,7
PO000314,SUP026,SKU0160,305,300,9,3
PO000315,SUP018,SKU0113,379,379,5,6
PO000316,SUP029,SKU0224,216,207,14,6
PO000317,SUP029,SKU0159,301,300,7,3
PO000318,SUP008,SKU0315,355,350,11,2
PO000319,SUP004,SKU0590,404,403,11,5
PO000320,SUP007,SKU0037,484,483,12,3
PO000321,SUP002,SKU0224,297,277,2,7
PO000322,SUP018,SKU0833,385,374,4,4
PO000323,SUP017,SKU0107,223,221,14,4
PO000324,SUP003,SKU0302,127,112,8,8
PO000325,SUP008,SKU0309,255,243,4,2
PO000326,SUP020,SKU0262,409,401,3,1
PO000327,SUP019,SKU0378,333,329,14,1
PO000328,SUP020,SKU0216,428,428,13,7
PO000329,SUP022,SKU0145,379,365,9,6
PO000330,SUP010,SKU0525,124,119,7,7
PO000331,SUP010,SKU0764,402,385,6,3
PO000332,SUP015,SKU0621,115,108,11,4
PO000333,SUP028,SKU0134,165,164,13,1
PO000334,SUP010,SKU0827,303,301,12,4
PO000335,SUP015,SKU0519,326,323,10,1
PO000336,SUP024,SKU0119,105,103,5,2
PO000337,SUP026,SKU0759,64,62,2,1
PO000338,SUP015,SKU0683,287,279,14,6
PO000339,SUP013,SKU0653,420,418,11,3
PO000340,SUP004,SKU0268,470,459,11,1
PO000341,SUP030,SKU0635,339,333,7,5
PO000342,SUP003,SKU0545,116,96,14,6
PO000343,SUP003,SKU0154,390,387,2,4
PO000344,SUP019,SKU0032,370,353,9,0
PO000345,SUP027,SKU0579,265,264,9,0
PO000346,SUP026,SKU0830,239,232,4,3
PO000347,SUP014,SKU0450,99,86,6,0
PO000348,SUP016,SKU0734,454,453,5,8
PO000349,SUP005,SKU0456,361,353,2,3
PO000350,SUP026,SKU0774,139,133,11,1
PO000351,SUP023,SKU0981,247,229,10,6
PO000352,SUP006,SKU0666,205,199,11,5
PO000353,SUP014,SKU0277,456,439,6,2
PO000354,SUP012,SKU0911,107,88,3,8
PO000355,SUP029,SKU0470,448,433,12,0
PO000356,SUP004,SKU0361,489,473,12,3
PO000357,SUP002,SKU0311,257,245,10,2
PO000358,SUP014,SKU0360,486,467,4,8
PO000359,SUP003,SKU0211,158,144,5,3
PO000360,SUP004,SKU0668,362,342,8,3
PO000361,SUP012,SKU0057,371,367,14,4
PO000362,SUP027,SKU0623,37,18,13,3
PO000363,SUP016,SKU0824,26,14,5,8
PO000364,SUP026,SKU0501,30,11,6,5
PO000365,SUP024,SKU0815,453,447,4,3
PO000366,SUP012,SKU0387,60,51,12,3
PO000367,SUP015,SKU0671,316,296,2,8
PO000368,SUP004,SKU0812,482,466,10,3
PO000369,SUP023,SKU0932,94,92,12,6
PO000370,SUP027,SKU0245,325,307,9,2
PO000371,SUP004,SKU0610,322,306,6,4
PO000372,SUP002,SKU0720,446,443,13,5
PO000373,SUP024,SKU0803,319,301,7,0
PO000374,SUP023,SKU0378,171,164,5,2
PO000375,SUP016,SKU0419,34,17,13,2
PO000376,SUP024,SKU0959,392,392,8,3
PO000377,SUP026,SKU0449,55,35,11,2
PO000378,SUP003,SKU0794,87,75,12,2
PO000379,SUP001,SKU0679,167,153,14,7
PO000380,SUP008,SKU0383,255,250,9,0
PO000381,SUP009,SKU0509,211,201,3,4
PO000382,SUP029,SKU0359,125,118,11,7
PO000383,SUP022,SKU0260,276,275,5,2
PO000384,SUP015,SKU0529,163,155,9,0
PO000385,SUP020,SKU0986,342,327,6,8
PO000386,SUP022,SKU0839,350,331,12,6
PO000387,SUP013,SKU0500,32,22,6,6
PO000388,SUP019,SKU0020,102,84,10,3
PO000389,SUP022,SKU0817,388,382,14,3
PO000390,SUP009,SKU0573,493,484,2,6
PO000391,SUP021,SKU0985,358,338,6,4
PO000392,SUP017,SKU0733,214,197,5,8
PO000393,SUP026,SKU0898,400,388,14,6
PO000394,SUP020,SKU0070,463,458,8,4
PO000395,SUP016,SKU0450,339,322,4,2
PO000396,SUP008,SKU0393,95,79,6,5
PO000397,SUP001,SKU0210,464,459,4,3
PO000398,SUP021,SKU0256,76,59,4,2
PO000399,SUP010,SKU0947,215,204,3,4
PO000400,SUP021,SKU0722,392,381,8,1
PO000401,SUP010,SKU0157,346,332,14,2
PO000402,SUP011,SKU0881,463,463,7,6
PO000403,SUP008,SKU0483,56,54,12,1
PO000404,SUP015,SKU0691,491,484,11,3
PO000405,SUP030,SKU0975,52,38,4,6
PO000406,SUP017,SKU0158,92,85,4,1
PO000407,SUP016,SKU0685,373,365,12,5
PO000408,SUP014,SKU0208,212,196,6,2
PO000409,SUP015,SKU0715,78,58,4,3
PO000410,SUP030,SKU0702,141,126,5,4
PO000411,SUP009,SKU0333,245,235,7,3
PO000412,SUP023,SKU0052,293,279,13,7
PO000413,SUP003,SKU0346,467,451,9,5
PO000414,SUP008,SKU0727,475,469,12,0
PO000415,SUP012,SKU0721,79,76,7,6
PO000416,SUP010,SKU0275,439,424,4,8
PO000417,SUP001,SKU0666,120,115,4,4
PO000418,SUP023,SKU0182,266,257,3,1
PO000419,SUP017,SKU0361,202,196,5,1
PO000420,SUP009,SKU0979,44,30,2,7
PO000421,SUP008,SKU0772,168,160,6,1
PO000422,SUP011,SKU0282,147,129,12,7
PO000423,SUP003,SKU0572,350,345,5,8
PO000424,SUP007,SKU0628,480,465,7,8
PO000425,SUP023,SKU0222,486,482,6,5
PO000426,SUP026,SKU0939,177,158,5,5
PO000427,SUP017,SKU0123,350,337,10,1
PO000428,SUP020,SKU0143,476,474,4,2
PO000429,SUP030,SKU0681,384,367,10,4
PO000430,SUP005,SKU0431,104,101,6,3
PO000431,SUP006,SKU0530,195,180,6,0
PO000432,SUP005,SKU0395,411,400,2,6
PO000433,SUP021,SKU0631,468,450,7,7
PO000434,SUP015,SKU0429,260,248,13,3
PO000435,SUP004,SKU0593,346,338,2,8
PO000436,SUP012,SKU0184,232,222,9,6
PO000437,SUP028,SKU0721,457,455,14,8
PO000438,SUP005,SKU0540,395,384,2,7
PO000439,SUP002,SKU0774,29,28,3,4
PO000440,SUP004,SKU0545,223,221,7,1
PO000441,SUP025,SKU0698,317,306,11,2
PO000442,SUP015,SKU0812,212,203,12,4
PO000443,SUP006,SKU0186,143,133,9,6
PO000444,SUP016,SKU0963,111,105,3,0
PO000445,SUP011,SKU0582,36,30,13,3
PO000446,SUP021,SKU0910,292,284,2,6
PO000447,SUP023,SKU0602,242,240,11,1
PO000448,SUP001,SKU0888,371,363,11,3
PO000449,SUP024,SKU0082,132,113,9,0
PO000450,SUP001,SKU0758,91,79,14,5
PO000451,SUP009,SKU0996,292,277,9,8
PO000452,SUP025,SKU0166,112,107,13,5
PO000453,SUP011,SKU0024,69,62,2,7
PO000454,SUP008,SKU0223,294,280,7,4
PO000455,SUP006,SKU0849,429,412,7,1
PO000456,SUP025,SKU0511,371,357,5,8
PO000457,SUP008,SKU0418,267,261,5,6
PO000458,SUP029,SKU0385,440,420,7,5
PO000459,SUP009,SKU0539,373,358,10,7
PO000460,SUP021,SKU0917,69,64,12,6
PO000461,SUP009,SKU0398,404,390,14,1
PO000462,SUP019,SKU0450,408,402,8,1
PO000463,SUP003,SKU0343,33,16,6,8
PO000464,SUP012,SKU0643,365,353,8,2
PO000465,SUP020,SKU0548,153,151,13,3
PO000466,SUP024,SKU0376,277,270,11,5
PO000467,SUP010,SKU0051,63,45,5,2
PO000468,SUP007,SKU0387,147,146,4,1
PO000469,SUP020,SKU0090,476,468,11,7
PO000470,SUP030,SKU0167,229,215,14,7
PO000471,SUP018,SKU0351,471,467,2,0
PO000472,SUP005,SKU0853,36,24,8,2
PO000473,SUP004,SKU0190,257,257,13,4
PO000474,SUP017,SKU0799,416,405,7,7
PO000475,SUP012,SKU0334,377,372,13,4
PO000476,SUP017,SKU0569,487,473,5,8
PO000477,SUP001,SKU0246,357,353,14,1
PO000478,SUP010,SKU0909,387,375,14,3
PO000479,SUP011,SKU0748,409,401,4,0
PO000480,SUP030,SKU0007,106,88,6,8
PO000481,SUP030,SKU0178,385,370,12,4
PO000482,SUP014,SKU0503,458,450,9,7
PO000483,SUP019,SKU0811,59,49,10,6
PO000484,SUP020,SKU0654,466,450,10,0
PO000485,SUP016,SKU0238,325,317,13,7
PO000486,SUP004,SKU0938,403,390,13,2
PO000487,SUP001,SKU0992,252,237,7,2
PO000488,SUP025,SKU0499,348,329,5,6
PO000489,SUP019,SKU0836,96,90,6,0
PO000490,SUP017,SKU0752,134,121,14,3
PO000491,SUP013,SKU0976,287,267,6,2
PO000492,SUP004,SKU0366,121,120,11,3
PO000493,SUP012,SKU0165,328,324,3,7
PO000494,SUP011,SKU0127,187,170,2,2
PO000495,SUP021,SKU0786,421,420,9,0
PO000496,SUP006,SKU0424,370,363,14,7
PO000497,SUP027,SKU0337,134,120,7,8
PO000498,SUP021,SKU0570,269,251,11,4
PO000499,SUP017,SKU0725,407,389,9,6
PO000500,SUP017,SKU0539,272,254,10,4
PO000501,SUP018,SKU0028,326,312,12,0
PO000502,SUP009,SKU0229,252,242,2,0
PO000503,SUP020,SKU0335,469,454,9,2
PO000504,SUP029,SKU0409,57,54,5,0
PO000505,SUP015,SKU0193,382,380,13,2
PO000506,SUP025,SKU0026,164,160,2,4
PO000507,SUP022,SKU0228,343,337,12,5
PO000508,SUP024,SKU0478,235,227,2,7
PO000509,SUP023,SKU0349,60,54,6,6
PO000510,SUP006,SKU0880,139,137,12,2
PO000511,SUP016,SKU0582,449,446,10,8
PO000512,SUP005,SKU0487,120,107,4,4
PO000513,SUP025,SKU0356,140,138,14,3
PO000514,SUP021,SKU0824,276,274,13,5
PO000515,SUP010,SKU0360,45,25,7,4
PO000516,SUP009,SKU0501,304,296,8,3
PO000517,SUP019,SKU0852,190,189,7,2
PO000518,SUP012,SKU0109,256,245,2,3
PO000519,SUP002,SKU0807,285,269,14,3
PO000520,SUP009,SKU0391,153,139,7,3
PO000521,SUP015,SKU0150,365,363,10,2
PO000522,SUP018,SKU0932,407,390,9,5
PO000523,SUP028,SKU0371,496,477,10,5
PO000524,SUP026,SKU0942,367,359,14,1
PO000525,SUP029,SKU0883,105,98,14,8
PO000526,SUP008,SKU0935,334,325,8,8
PO000527,SUP001,SKU0306,97,84,10,3
PO000528,SUP006,SKU0296,354,342,9,0
PO000529,SUP006,SKU0931,406,392,10,6
PO000530,SUP001,SKU0320,235,222,3,4
PO000531,SUP011,SKU0826,114,100,4,2
PO000532,SUP004,SKU0997,272,258,3,3
PO000533,SUP017,SKU0987,338,333,13,4
PO000534,SUP016,SKU0582,420,402,9,8
PO000535,SUP010,SKU0419,275,266,13,1
PO000536,SUP013,SKU0576,424,420,11,1
PO000537,SUP012,SKU0570,441,431,12,8
PO000538,SUP002,SKU0362,132,125,2,0
PO000539,SUP019,SKU0655,145,132,12,2
PO000540,SUP012,SKU0571,433,432,11,1
PO000541,SUP021,SKU0408,363,357,12,0
PO000542,SUP018,SKU0100,137,121,13,6
PO000543,SUP028,SKU0434,83,68,9,4
PO000544,SUP030,SKU0060,86,81,13,0
PO000545,SUP030,SKU0370,412,403,9,4
PO000546,SUP010,SKU0980,500,499,6,2
PO000547,SUP010,SKU0434,49,45,2,7
PO000548,SUP010,SKU0841,436,416,8,1
PO000549,SUP008,SKU0792,129,129,9,5
PO000550,SUP021,SKU0755,84,73,4,1
PO000551,SUP025,SKU0310,155,154,13,4
PO000552,SUP029,SKU0492,130,116,6,1
PO000553,SUP020,SKU0290,432,419,9,3
PO000554,SUP025,SKU0598,151,134,5,0
PO000555,SUP024,SKU0543,406,389,13,0
PO000556,SUP009,SKU0007,332,324,10,3
PO000557,SUP029,SKU0033,149,147,6,2
PO000558,SUP026,SKU0779,398,379,8,2
PO000559,SUP018,SKU0850,361,348,11,1
PO000560,SUP003,SKU0582,346,344,12,1
PO000561,SUP013,SKU0511,296,286,9,5
PO000562,SUP027,SKU0722,448,446,6,0
PO000563,SUP008,SKU0192,221,217,7,6
PO000564,SUP025,SKU0576,253,234,11,6
PO000565,SUP018,SKU0277,431,428,12,1
PO000566,SUP006,SKU0362,337,326,10,8
PO000567,SUP026,SKU0750,56,53,4,7
PO000568,SUP012,SKU0467,382,378,8,7
PO000569,SUP029,SKU0617,301,291,11,7
PO000570,SUP006,SKU0972,486,473,13,8
PO000571,SUP010,SKU0124,336,328,4,3
PO000572,SUP019,SKU0049,414,404,12,6
PO000573,SUP030,SKU0647,248,231,9,5
PO000574,SUP017,SKU0748,237,230,10,2
PO000575,SUP022,SKU0180,135,117,3,4
PO000576,SUP009,SKU0396,494,481,10,4
PO000577,SUP027,SKU0172,455,435,11,7
PO000578,SUP001,SKU0847,457,445,2,6
PO000579,SUP002,SKU0362,426,416,9,8
