Date,Warehouse,SKU,Current_Stock,Reorder_Level,Max_Stock,Damaged_Qty,Holding_Cost
2025-10-09,Ipoh,SKU0469,737,44,282,3,88.44
2025-12-09,Shah Alam,SKU0344,130,24,267,2,15.6
2025-03-04,Penang,SKU0114,476,78,567,5,57.12
2024-06-09,Penang,SKU0226,302,97,492,8,36.24
2025-02-25,KK,SKU0876,235,31,241,9,28.2
2024-01-15,Melaka,SKU0485,473,55,531,3,56.76
2025-08-16,Kuantan,SKU0254,335,75,477,2,40.2
2025-03-03,Shah Alam,SKU0936,587,20,140,7,70.44
2024-02-04,Melaka,SKU0752,787,84,455,6,94.44
2025-04-08,KK,SKU0491,713,32,255,1,85.56
2025-12-10,Melaka,SKU0572,771,21,232,2,92.52
2025-10-25,Johor,SKU0368,302,50,158,7,36.24
2025-12-21,KK,SKU0686,312,40,432,9,37.44
2024-05-21,Melaka,SKU0025,465,79,273,5,55.8
2025-10-04,Johor,SKU0642,475,20,317,5,57.0
2025-03-12,Kuching,SKU0544,33,57,514,9,3.96
2025-12-02,Johor,SKU0556,589,46,463,5,70.68
2025-11-21,Ipoh,SKU0754,56,85,211,1,6.72
2025-09-25,Shah Alam,SKU0393,374,79,366,5,44.88
2025-12-22,Johor,SKU0180,663,91,478,3,79.56
2025-07-06,Johor,SKU0142,342,50,482,7,41.04
2025-12-20,Kuantan,SKU0756,770,94,579,3,92.4
2025-05-30,Melaka,SKU0329,361,54,295,0,43.32
2025-04-08,KK,SKU0065,381,64,420,8,45.72
2025-12-27,Kuching,SKU0850,125,80,411,9,15.0
2024-07-11,KK,SKU0377,689,28,172,1,82.68
2024-03-19,Johor,SKU0401,183,56,240,4,21.96
2025-05-23,Penang,SKU0115,713,38,242,8,85.56
2024-10-27,Melaka,SKU0975,642,22,471,8,77.04
2024-12-21,Melaka,SKU0955,135,80,407,10,16.2
2024-03-05,Shah Alam,SKU0022,298,44,262,8,35.76
2025-08-15,Ipoh,SKU0661,343,72,507,10,41.16
2025-08-30,KK,SKU0806,334,82,416,4,40.08
2024-06-24,Kuching,SKU0581,135,59,275,7,16.2
2024-05-31,Ipoh,SKU0381,295,26,271,7,35.4
2024-06-13,Kuching,SKU0980,170,99,292,2,20.4
2024-06-14,Kuantan,SKU0860,725,39,198,0,87.0
2025-03-27,Kuching,SKU0325,588,36,325,2,70.56
2025-11-12,Ipoh,SKU0211,575,24,300,2,69.0
2024-06-15,Kuching,SKU0382,459,89,251,0,55.08
2025-04-14,Ipoh,SKU0415,511,38,217,0,61.32
2025-06-03,Ipoh,SKU0994,756,89,520,4,90.72
2025-11-13,Penang,SKU0486,296,93,482,7,35.52
2025-05-05,Shah Alam,SKU0347,705,34,205,10,84.6
2024-01-26,Melaka,SKU0565,119,59,475,3,14.28
2024-11-30,Shah Alam,SKU0457,365,31,442,10,43.8
2024-08-15,Kuching,SKU0200,597,87,287,0,71.64
2025-11-24,Johor,SKU0086,551,77,439,6,66.12
2025-09-09,Shah Alam,SKU0200,502,60,501,5,60.24
2025-01-13,Melaka,SKU0408,151,74,364,0,18.12
2024-11-11,KK,SKU0292,353,64,451,1,42.36
2025-03-01,KK,SKU0221,745,76,323,2,89.4
2025-02-28,Penang,SKU0826,745,74,474,9,89.4
2024-11-06,KK,SKU0089,147,46,414,5,17.64
2024-03-31,Shah Alam,SKU0068,604,68,377,10,72.48
2024-06-28,KK,SKU0937,279,73,536,9,33.48
2024-07-09,Melaka,SKU0774,140,45,293,8,16.8
2025-08-22,Kuching,SKU0503,43,58,410,8,5.16
2024-01-28,Shah Alam,SKU0758,474,48,226,4,56.88
2024-05-07,Kuching,SKU0308,655,80,393,2,78.6
2024-01-30,Johor,SKU0504,704,51,542,4,84.48
2025-01-05,KK,SKU0505,68,96,485,6,8.16
2025-12-03,KK,SKU0890,264,100,555,1,31.68
2024-01-18,Kuching,SKU0383,524,93,276,9,62.88
2025-04-17,Penang,SKU0060,149,60,342,2,17.88
