Sales_ID,Date,SKU,Warehouse,Quantity_Sold,Discount_Pct,Revenue
S000131,2025-06-10,SKU0588,Kuantan,20,0,9743.6
S000132,2024-12-26,SKU0825,Melaka,17,15,1826.48
S000133,2025-03-21,SKU0740,Melaka,2,0,71.62
S000134,2025-02-27,SKU0516,KK,11,10,1161.96
S000135,2025-09-09,SKU0804,Ipoh,15,10,4813.02
S000136,2025-09-24,SKU0237,KK,5,0,1596.35
S000137,2025-09-19,SKU0785,Kuantan,11,0,1828.75
S000138,2025-02-04,SKU0043,Johor,8,15,894.0
S000139,2025-07-30,SKU0896,Kuantan,20,10,656.82
S000140,2024-01-23,SKU0129,Kuantan,13,15,1380.14
S000141,2025-02-10,SKU0804,Johor,18,15,5454.76
S000142,2025-03-24,SKU0648,Kuching,12,15,414.73
S000143,2025-07-01,SKU0136,Kuantan,7,5,2460.3
S000144,2025-11-21,SKU0461,Kuantan,17,0,782.51
S000145,2024-03-15,SKU0463,Melaka,3,5,578.58
S000146,2024-01-22,SKU0330,KK,18,10,5068.66
S000147,2025-12-07,SKU0292,Penang,13,0,817.7
S000148,2024-12-11,SKU0041,Kuching,9,5,2975.74
S000149,2025-03-20,SKU0335,Melaka,13,0,6233.89
S000150,2024-08-02,SKU0227,Melaka,13,15,2334.64
S000151,2024-04-26,SKU0200,Kuantan,18,15,3391.86
S000152,2025-11-06,SKU0939,Penang,20,0,1834.4
S000153,2024-02-29,SKU0906,Kuching,6,0,2216.82
S000154,2024-02-28,SKU0992,Kuantan,6,0,2928.9
S000155,2025-08-07,SKU0504,Penang,20,15,4068.61
S000156,2025-10-20,SKU0926,KK,1,0,172.0
S000157,2024-02-17,SKU0577,Johor,7,5,88.05
S000158,2024-12-09,SKU0179,KK,8,0,2580.48
S000159,2024-08-10,SKU0854,KK,19,15,7448.54
S000160,2024-12-21,SKU0645,Shah Alam,16,15,3015.8
S000161,2024-05-12,SKU0083,Penang,6,10,786.08
S000162,2024-03-10,SKU0634,Kuantan,5,0,1301.15
S000163,2024-10-19,SKU0215,Ipoh,15,0,4198.65
S000164,2025-12-31,SKU0905,Shah Alam,16,0,4323.36
S000165,2024-02-20,SKU0678,KK,18,0,1299.24
S000166,2025-10-15,SKU0723,Johor,10,10,3309.12
S000167,2025-09-10,SKU0948,Penang,3,0,395.4
S000168,2025-02-25,SKU0552,Melaka,5,0,403.65
S000169,2024-09-02,SKU0767,Penang,10,10,3858.75
S000170,2024-08-17,SKU0792,Johor,14,10,2089.33
S000171,2025-12-05,SKU0245,Shah Alam,18,0,2420.1
S000172,2025-07-29,SKU0732,Kuantan,7,0,1305.22
S000173,2025-04-11,SKU0851,Kuantan,8,5,2206.2
S000174,2024-11-02,SKU0967,Shah Alam,13,0,5382.39
S000175,2025-02-27,SKU0291,Johor,16,15,343.54
S000176,2025-03-06,SKU0621,Johor,10,0,3201.2
S000177,2024-04-20,SKU0928,Johor,11,10,3880.5
S000178,2025-02-11,SKU0661,Kuching,3,0,757.62
S000179,2024-07-07,SKU0678,Penang,5,10,324.81
S000180,2025-09-27,SKU0954,KK,8,0,1821.2
S000181,2025-12-30,SKU0762,Ipoh,17,10,3626.71
S000182,2024-08-03,SKU0731,Penang,17,10,4476.17
S000183,2025-11-27,SKU0043,Johor,3,0,394.41
S000184,2024-06-11,SKU0941,Kuantan,1,5,284.5
S000185,2025-11-19,SKU0152,KK,5,15,1933.45
S000186,2024-08-30,SKU0308,Shah Alam,15,10,5179.68
S000187,2024-09-30,SKU0093,Johor,20,0,9260.0
S000188,2024-07-27,SKU0007,Kuching,17,10,2703.82
S000189,2024-06-04,SKU0780,Ipoh,9,0,1779.12
S000190,2024-05-21,SKU0255,Kuching,16,0,6083.68
S000191,2025-05-22,SKU0613,Ipoh,10,0,1452.2
S000192,2025-05-26,SKU0563,Shah Alam,9,5,1377.66
S000193,2024-05-13,SKU0160,Kuantan,7,10,1724.31
S000194,2024-03-08,SKU0084,Ipoh,2,10,579.94
S000195,2024-04-05,SKU0450,Shah Alam,3,10,189.11
S000196,2025-08-29,SKU0300,KK,8,15,917.32
S000197,2024-06-28,SKU0788,Kuantan,19,15,5359.54
S000198,2024-01-29,SKU0993,Penang,10,0,3744.0
S000199,2024-12-22,SKU0871,Shah Alam,10,0,3420.7
S000200,2025-02-03,SKU0330,Kuantan,20,15,5318.96
S000201,2024-06-10,SKU0109,Melaka,2,5,399.21
S000202,2024-10-15,SKU0860,Johor,18,0,4735.62
S000203,2025-04-24,SKU0969,Melaka,18,5,5104.69
S000204,2025-02-28,SKU0854,Johor,18,10,7471.6
S000205,2025-10-10,SKU0707,KK,16,5,2770.2
S000206,2025-03-03,SKU0719,Penang,6,10,1939.63
S000207,2024-06-23,SKU0742,KK,1,0,389.03
S000208,2024-03-31,SKU0376,Shah Alam,18,15,7128.73
S000209,2024-11-12,SKU0972,Johor,3,15,660.65
S000210,2024-06-02,SKU0049,Ipoh,1,10,365.1
S000211,2024-07-02,SKU0943,Kuantan,19,15,5916.88
S000212,2024-04-09,SKU0049,Johor,13,0,5273.71
S000213,2024-06-13,SKU0491,Ipoh,14,10,4700.3
S000214,2024-06-04,SKU0918,Shah Alam,4,0,969.8
S000215,2025-03-02,SKU0044,Shah Alam,10,10,2532.78
S000216,2025-03-04,SKU0844,Shah Alam,12,0,5475.48
S000217,2024-11-03,SKU0383,Ipoh,2,10,227.59
S000218,2024-01-15,SKU0674,Kuching,3,5,1153.31
S000219,2025-05-05,SKU0129,Kuantan,2,0,249.8
S000220,2025-03-26,SKU0860,KK,1,10,236.78
S000221,2024-08-17,SKU0340,Penang,5,5,1071.03
S000222,2024-10-29,SKU0170,Johor,17,0,2015.86
S000223,2024-07-15,SKU0239,Ipoh,8,15,402.9
S000224,2025-11-30,SKU0566,Johor,2,0,236.84
S000225,2025-05-03,SKU0062,Shah Alam,7,5,775.86
S000226,2024-08-07,SKU0029,Ipoh,5,0,78.15
S000227,2024-12-04,SKU0556,Shah Alam,5,0,1700.5
S000228,2024-11-13,SKU0448,Johor,6,5,1021.61
S000229,2024-02-24,SKU0760,Kuantan,12,5,704.18
S000230,2024-02-06,SKU0172,Kuching,17,5,4516.99
S000231,2024-11-15,SKU0099,Kuantan,13,0,6289.14
S000232,2025-12-31,SKU0350,Kuching,9,0,4460.22
S000233,2025-10-25,SKU0599,Penang,4,15,955.37
S000234,2025-11-11,SKU0861,Ipoh,10,0,879.0
S000235,2025-03-06,SKU0464,Kuching,10,15,3229.41
S000236,2024-08-24,SKU0741,Shah Alam,8,0,3820.0
S000237,2024-02-15,SKU0279,Ipoh,1,0,113.93
S000238,2024-05-01,SKU0561,Ipoh,3,10,297.57
S000239,2024-08-29,SKU0679,Ipoh,17,0,2853.11
S000240,2025-09-08,SKU0004,Penang,14,0,322.0
S000241,2024-02-04,SKU0370,Kuching,18,15,5986.58
S000242,2025-11-01,SKU0627,Kuching,3,10,230.93
S000243,2024-07-19,SKU0793,Kuantan,8,5,2684.85
S000244,2025-09-21,SKU0219,Kuantan,3,0,1470.96
S000245,2024-12-27,SKU0714,Ipoh,17,5,256.95
S000246,2025-11-04,SKU0413,Shah Alam,18,0,5183.1
S000247,2024-01-10,SKU0877,Shah Alam,6,0,1590.66
S000248,2025-12-24,SKU0384,Kuching,7,10,2035.47
S000249,2025-11-22,SKU0774,Penang,16,15,3208.1
S000250,2024-03-07,SKU0461,Kuantan,20,0,920.6
S000251,2024-10-13,SKU0880,Melaka,6,15,210.53
S000252,2024-07-12,SKU0334,Ipoh,3,10,177.85
S000253,2024-09-18,SKU0900,Melaka,20,0,4630.2
S000254,2024-04-27,SKU0117,Kuching,6,0,493.2
S000255,2025-06-02,SKU0042,Kuantan,15,10,4433.94
S000256,2025-04-05,SKU0282,KK,1,0,436.15
S000257,2025-10-29,SKU0808,Melaka,3,15,778.18
S000258,2024-02-01,SKU0647,Kuantan,2,0,230.5
S000259,2024-09-04,SKU0795,Kuching,4,5,951.18
S000260,2025-08-01,SKU0853,Melaka,20,15,7491.73
S000261,2025-01-11,SKU0208,Ipoh,6,0,318.9
S000262,2025-04-20,SKU0227,Ipoh,8,10,1521.22
S000263,2024-12-01,SKU0207,Penang,4,5,1271.75
S000264,2024-04-12,SKU0837,Penang,18,5,3414.53
S000265,2024-01-24,SKU0958,Shah Alam,6,0,1934.34
S000266,2025-08-10,SKU0034,Kuantan,5,0,537.35
S000267,2024-03-26,SKU0506,Kuantan,11,10,3672.31
S000268,2024-02-16,SKU0352,Penang,2,15,60.62
S000269,2024-09-30,SKU0149,Shah Alam,18,5,4067.58
S000270,2025-05-17,SKU1000,Ipoh,17,10,6495.62
S000271,2025-06-13,SKU0661,Kuching,16,15,3434.54
S000272,2024-12-20,SKU0891,Johor,5,0,1653.35
S000273,2024-02-08,SKU0644,Penang,18,15,3189.59
S000274,2024-07-04,SKU0824,Johor,14,0,1443.26
S000275,2024-05-22,SKU0652,Kuching,10,10,2109.15
S000276,2024-08-26,SKU0075,Kuching,13,15,4871.28
S000277,2025-04-24,SKU0897,Penang,10,5,1690.14
S000278,2025-09-18,SKU0497,Kuantan,20,5,7227.6
S000279,2024-12-20,SKU0633,Ipoh,5,0,1104.6
S000280,2025-10-27,SKU0849,KK,3,0,178.47
S000281,2024-07-12,SKU0006,Kuantan,9,0,3659.58
S000282,2024-09-13,SKU0012,Kuching,10,0,440.8
S000283,2025-08-03,SKU0569,Penang,4,0,1018.64
S000284,2025-04-26,SKU0708,Kuching,13,10,1537.61
S000285,2025-11-20,SKU0299,KK,8,0,2940.08
S000286,2024-09-26,SKU0929,Shah Alam,7,0,3173.38
S000287,2024-08-20,SKU0147,Shah Alam,20,0,2153.8
S000288,2025-12-04,SKU0052,Shah Alam,18,0,3172.68
S000289,2024-03-12,SKU0228,Johor,20,0,9151.6
S000290,2025-05-18,SKU0659,Ipoh,10,0,3135.1
S000291,2025-07-04,SKU0383,Melaka,19,5,2282.24
S000292,2024-08-08,SKU0173,Kuching,3,5,456.71
S000293,2024-10-21,SKU0519,Kuantan,10,15,2566.57
S000294,2024-08-06,SKU0962,Kuching,2,0,115.48
S000295,2025-05-05,SKU0949,Ipoh,9,15,1519.21
S000296,2025-06-11,SKU0914,Penang,12,0,3945.12
S000297,2024-05-28,SKU0917,Johor,8,10,1542.38
S000298,2024-08-26,SKU0947,KK,13,0,3436.68
S000299,2024-11-30,SKU0669,Shah Alam,3,10,891.81
S000300,2025-05-11,SKU0503,Johor,8,0,3957.28
S000301,2024-12-23,SKU0315,Ipoh,13,0,2487.29
S000302,2024-11-08,SKU0302,Melaka,5,10,1686.83
S000303,2024-08-07,SKU0835,KK,17,5,5443.52
S000304,2024-06-19,SKU0182,Kuantan,2,0,488.18
S000305,2024-05-09,SKU0538,KK,8,0,818.88
S000306,2024-09-24,SKU0063,Kuantan,10,10,358.83
S000307,2025-12-12,SKU0898,Kuching,5,5,1713.23
S000308,2024-12-27,SKU0030,Ipoh,6,5,2154.2
S000309,2024-07-03,SKU0563,Kuching,11,10,1595.19
S000310,2024-06-18,SKU0376,Kuantan,18,0,8386.74
S000311,2024-01-30,SKU0739,Johor,8,0,2320.4
S000312,2024-10-13,SKU0517,Shah Alam,12,15,3839.18
S000313,2025-11-29,SKU0838,Johor,11,15,4383.47
S000314,2025-06-12,SKU0260,Penang,8,15,976.07
S000315,2025-10-13,SKU0486,Kuching,8,5,2595.7
S000316,2025-08-23,SKU0926,Kuching,19,0,3268.0
S000317,2024-04-03,SKU0673,Johor,9,5,1879.29
S000318,2024-10-30,SKU0740,Shah Alam,7,0,250.67
S000319,2024-10-18,SKU0417,Melaka,5,0,1272.65
S000320,2024-12-25,SKU0098,Kuching,8,0,837.04
S000321,2024-09-10,SKU0449,KK,7,15,1560.92
S000322,2024-11-25,SKU0061,Ipoh,6,0,2207.7
S000323,2024-10-24,SKU0774,Johor,13,0,3066.57
S000324,2025-10-24,SKU0924,Ipoh,9,0,1668.42
S000325,2024-04-23,SKU0475,Shah Alam,15,15,1640.67
S000326,2025-08-01,SKU0766,Penang,15,0,6177.6
S000327,2025-03-15,SKU0148,Melaka,7,10,452.65
S000328,2025-10-11,SKU0370,Ipoh,5,10,1760.76
S000329,2024-09-22,SKU0720,Johor,4,15,171.33
S000330,2024-07-03,SKU0608,KK,1,10,152.07
S000331,2025-04-08,SKU0285,Kuching,11,15,211.59
S000332,2025-08-18,SKU0383,Penang,14,0,1770.16
S000333,2025-03-15,SKU0381,Kuantan,1,5,295.94
S000334,2024-08-24,SKU0233,Melaka,16,15,6594.78
S000335,2024-08-24,SKU0296,KK,7,0,410.2
S000336,2024-10-26,SKU0115,Melaka,6,0,309.3
S000337,2024-03-02,SKU0250,Shah Alam,2,5,374.05
S000338,2024-07-30,SKU0623,Shah Alam,11,10,2834.27
S000339,2025-02-05,SKU0264,Kuantan,6,10,2146.12
S000340,2024-02-20,SKU0153,Penang,8,0,857.44
S000341,2024-11-23,SKU0414,KK,12,15,1956.05
S000342,2025-11-30,SKU0289,Kuching,16,0,1015.04
S000343,2025-02-06,SKU0618,KK,7,5,2723.71
S000344,2024-04-11,SKU0234,Melaka,11,0,3612.62
S000345,2024-11-01,SKU0017,Shah Alam,17,0,1531.19
S000346,2025-04-12,SKU0171,Kuching,17,10,2919.55
S000347,2024-08-04,SKU0800,Kuantan,1,10,388.56
S000348,2025-12-05,SKU0273,Melaka,20,15,1457.24
S000349,2024-07-20,SKU0287,Ipoh,16,10,513.79
S000350,2024-12-10,SKU0225,Melaka,20,15,3312.11
S000351,2024-11-28,SKU0168,Kuching,4,15,847.96
S000352,2025-02-27,SKU0154,KK,14,0,2208.92
S000353,2025-07-05,SKU0866,Penang,3,10,1248.24
S000354,2025-05-04,SKU0953,Shah Alam,14,15,3870.24
S000355,2024-03-07,SKU0092,Johor,7,5,2708.41
S000356,2024-08-12,SKU0423,Penang,13,5,3404.4
S000357,2025-12-19,SKU0812,KK,5,0,563.75
S000358,2025-08-26,SKU0665,Kuching,15,0,4307.55
S000359,2024-09-28,SKU0831,KK,3,0,1001.73
S000360,2024-10-13,SKU0491,Ipoh,6,0,2238.24
S000361,2025-01-31,SKU0231,KK,8,5,1715.7
S000362,2025-03-21,SKU0613,Penang,4,15,493.75
S000363,2024-10-06,SKU0472,Kuantan,13,0,5205.33
S000364,2024-02-21,SKU0590,Melaka,14,15,552.52
S000365,2025-04-21,SKU0227,Penang,2,0,422.56
S000366,2025-07-22,SKU0213,Johor,7,15,899.22
S000367,2024-07-28,SKU0486,Ipoh,17,5,5515.87
S000368,2025-09-29,SKU0885,Penang,14,0,2915.5
S000369,2025-04-09,SKU0077,Johor,4,10,1459.73
S000370,2025-01-27,SKU0760,KK,13,0,803.01
S000371,2025-11-19,SKU0449,Johor,8,0,2098.72
S000372,2025-12-03,SKU0951,KK,2,0,93.36
S000373,2025-02-25,SKU0218,Ipoh,10,0,1530.1
S000374,2025-09-27,SKU0825,Kuching,1,0,126.4
S000375,2024-09-24,SKU0460,KK,20,15,596.19
S000376,2025-08-22,SKU0776,Kuantan,19,0,4162.33
S000377,2024-04-11,SKU0874,Melaka,13,15,4469.61
S000378,2025-12-20,SKU0876,Shah Alam,14,0,3288.74
S000379,2024-05-15,SKU0558,Melaka,15,10,6135.07
S000380,2025-10-24,SKU0553,Melaka,13,0,6294.86
S000381,2025-03-13,SKU0750,Kuantan,16,5,7474.3
S000382,2024-08-23,SKU0639,Ipoh,13,5,3005.0
S000383,2025-02-16,SKU0132,Shah Alam,16,0,2754.08
S000384,2025-01-11,SKU0019,Shah Alam,15,0,5797.05
S000385,2025-07-26,SKU0263,Kuching,1,15,411.05
S000386,2024-08-24,SKU0117,Shah Alam,7,10,517.86
S000387,2024-11-20,SKU0101,Penang,3,5,1383.67
S000388,2024-05-14,SKU0813,Shah Alam,18,15,962.98
S000389,2024-01-13,SKU0831,KK,16,10,4808.3
S000390,2025-05-29,SKU0495,Melaka,19,15,7900.26
S000391,2025-01-17,SKU0127,Melaka,17,0,2229.55
S000392,2025-03-12,SKU0724,Kuching,3,5,1319.75
S000393,2025-10-18,SKU0042,Shah Alam,6,10,1773.58
S000394,2024-05-28,SKU0135,Penang,18,0,3282.48
S000395,2024-11-04,SKU0928,Kuching,6,15,1999.05
S000396,2024-03-26,SKU0862,Melaka,13,5,944.4
S000397,2025-12-16,SKU0334,Ipoh,3,5,187.73
S000398,2025-02-23,SKU0576,Penang,14,5,4289.12
S000399,2025-05-24,SKU0870,Shah Alam,13,0,1167.66
S000400,2025-06-26,SKU0306,Kuantan,7,10,1629.37
S000401,2024-07-21,SKU0202,Kuching,19,0,5554.84
S000402,2025-12-29,SKU0026,Johor,20,10,7774.92
S000403,2024-03-20,SKU0192,KK,13,10,1768.69
S000404,2025-07-25,SKU0415,Ipoh,9,10,2182.46
S000405,2024-06-20,SKU0459,KK,15,0,5497.2
S000406,2025-07-20,SKU0215,Kuching,11,10,2771.11
S000407,2025-11-29,SKU0975,KK,2,15,365.75
S000408,2025-04-24,SKU0027,Penang,11,0,3777.84
S000409,2025-03-19,SKU0050,Kuching,20,0,4424.4
S000410,2024-12-01,SKU0869,Penang,13,15,3840.32
S000411,2025-08-31,SKU0602,Kuching,14,5,1879.42
S000412,2025-05-28,SKU0924,Johor,16,0,2966.08
S000413,2025-07-07,SKU0719,Shah Alam,14,5,4777.23
S000414,2024-04-27,SKU0502,Shah Alam,8,15,1960.44
S000415,2025-08-05,SKU0030,KK,3,5,1077.1
S000416,2025-11-15,SKU0482,Shah Alam,13,5,5916.89
S000417,2024-01-15,SKU0054,Shah Alam,6,0,1420.14
S000418,2025-12-18,SKU0664,Melaka,8,15,817.16
S000419,2025-06-07,SKU0316,Penang,5,0,2214.2
S000420,2024-11-23,SKU0140,Penang,8,0,3635.2
S000421,2024-11-14,SKU0145,Johor,1,10,339.32
S000422,2025-11-01,SKU0170,Melaka,9,0,1067.22
S000423,2024-01-24,SKU0191,Penang,4,0,1391.16
S000424,2024-01-27,SKU0370,Kuching,9,15,2993.29
S000425,2025-08-05,SKU0109,Melaka,3,0,630.33
S000426,2024-06-12,SKU0342,Ipoh,9,0,1458.9
S000427,2025-03-31,SKU0712,Melaka,11,0,4334.66
S000428,2025-09-20,SKU0328,Kuantan,14,15,2477.22
S000429,2024-11-27,SKU0432,Shah Alam,10,10,892.44
S000430,2024-06-29,SKU0849,Melaka,20,15,1011.33
S000431,2025-05-08,SKU0152,Ipoh,17,10,6960.43
S000432,2024-03-01,SKU0693,Kuantan,16,0,2123.04
S000433,2025-12-10,SKU0729,Kuantan,4,0,1552.0
S000434,2024-04-13,SKU0876,Kuching,1,5,223.16
S000435,2025-05-27,SKU0243,Ipoh,6,10,1666.71
S000436,2025-09-28,SKU0964,Kuching,17,10,5416.66
S000437,2025-11-05,SKU0464,Shah Alam,2,10,683.87
S000438,2025-07-14,SKU0425,Johor,20,10,1250.46
S000439,2024-08-16,SKU0566,KK,19,0,2249.98
S000440,2024-11-06,SKU0074,Shah Alam,2,0,515.76
S000441,2024-04-17,SKU0507,Kuantan,4,15,355.81
S000442,2025-03-10,SKU0676,Shah Alam,14,0,4068.96
S000443,2025-06-29,SKU0898,KK,13,15,3985.51
S000444,2024-01-27,SKU0528,Kuantan,11,10,2154.34
S000445,2025-10-21,SKU0614,KK,4,0,747.8
S000446,2024-02-08,SKU0816,Ipoh,16,10,5709.31
S000447,2025-05-26,SKU0196,Ipoh,18,15,688.35
S000448,2025-09-30,SKU0078,Ipoh,17,15,2264.31
S000449,2025-08-14,SKU0218,KK,9,0,1377.09
S000450,2025-08-05,SKU0657,KK,2,0,546.64
S000451,2024-08-25,SKU0750,Shah Alam,16,0,7867.68
S000452,2024-04-02,SKU0888,Kuching,1,0,157.1
